Long,Lat,ID
-73.97696825691759,40.72375214158458,4
-74.01556351255894,40.70294583498452,12
-74.01607915192938,40.71203815707432,13
-73.9981514989905,40.71245931177932,45
-73.98984464313301,40.762252755319196,48
-73.9951352207551,40.766237725041655,50
-73.99991742024714,40.74842755506555,68
-73.98593745682464,40.72762019590936,79
-74.00749598562426,40.70680845166566,87
-74.01151502922316,40.70335790323597,88
-73.99697141558367,40.74227862901209,90
-74.00748581800949,40.726290410281024,125
-73.98878659911526,40.753512758725535,100
-73.98405213268907,40.73682405761877,107
-73.99430477051166,40.732579073026834,113
-73.99738026020039,40.72834039137211,114
-73.97649472376759,40.740438978596224,137
-73.99691854183824,40.72088889344507,144
-73.99089626184728,40.718938359380054,148
-74.0089841047852,40.73503540069646,158
-73.97769793122406,40.758028043526075,161
-73.97235594352028,40.75668765218863,162
-73.97756868222717,40.76442140578658,163
-73.98515639467685,40.748574629356526,164
-73.97849159965226,40.7477457936437,170
-73.99243753697608,40.74849718140483,186
-74.00366456329897,40.70907274279292,209
-74.00153756565634,40.72388811004152,211
-73.9765976732335,40.73182063601662,224
-73.9651457991842,40.75672894163289,229
-73.98419648907571,40.75981761719165,230
-74.00787970866399,40.71777273626497,231
-73.98302455833488,40.71473250693923,232
-73.97045074840761,40.74991851435203,233
-73.99045782354737,40.740337441756836,234
-74.0040151252866,40.7533090659831,246
-74.00287495910835,40.734576007331555,249
-74.01302277174901,40.70913894067165,261
